Datetime,Adj Close,Close,High,Low,Open,Volume
2020-02-25 09:00:00+09:00,56700.0,56700.0,56800.0,56200.0,56200.0,0
2020-02-25 09:05:00+09:00,57100.0,57100.0,57100.0,56600.0,56700.0,882566
2020-02-25 09:10:00+09:00,57300.0,57300.0,57600.0,57000.0,57100.0,1012155
2020-02-25 09:15:00+09:00,57100.0,57100.0,57300.0,57000.0,57300.0,444778
2020-02-25 09:20:00+09:00,56700.0,56700.0,57100.0,56600.0,57000.0,756358
2020-02-25 09:25:00+09:00,57000.0,57000.0,57100.0,56600.0,56600.0,647742
2020-02-25 09:30:00+09:00,57000.0,57000.0,57100.0,56900.0,57100.0,296498
2020-02-25 09:35:00+09:00,57100.0,57100.0,57200.0,56900.0,57000.0,477696
2020-02-25 09:40:00+09:00,57100.0,57100.0,57200.0,56900.0,57200.0,453043
2020-02-25 09:45:00+09:00,57000.0,57000.0,57100.0,56900.0,57100.0,145736
2020-02-25 09:50:00+09:00,57100.0,57100.0,57100.0,56900.0,57000.0,270673
2020-02-25 09:55:00+09:00,57300.0,57300.0,57300.0,57100.0,57200.0,343080
2020-02-25 10:00:00+09:00,57500.0,57500.0,57600.0,57100.0,57200.0,440592
2020-02-25 10:05:00+09:00,57500.0,57500.0,57700.0,57400.0,57600.0,706324
2020-02-25 10:10:00+09:00,57800.0,57800.0,57800.0,57400.0,57500.0,376578
2020-02-25 10:15:00+09:00,57600.0,57600.0,57800.0,57500.0,57700.0,579503
2020-02-25 10:20:00+09:00,57700.0,57700.0,57800.0,57500.0,57600.0,361644
2020-02-25 10:25:00+09:00,57500.0,57500.0,57700.0,57400.0,57700.0,337388
2020-02-25 10:30:00+09:00,57600.0,57600.0,57600.0,57400.0,57400.0,228238
2020-02-25 10:35:00+09:00,57600.0,57600.0,57600.0,57500.0,57600.0,86246
2020-02-25 10:40:00+09:00,57600.0,57600.0,57700.0,57500.0,57600.0,368755
2020-02-25 10:45:00+09:00,57600.0,57600.0,57600.0,57500.0,57500.0,63825
2020-02-25 10:50:00+09:00,57400.0,57400.0,57600.0,57400.0,57600.0,183744
2020-02-25 10:55:00+09:00,57200.0,57200.0,57500.0,57200.0,57500.0,310926
2020-02-25 11:00:00+09:00,57300.0,57300.0,57300.0,57100.0,57300.0,395542
2020-02-25 11:05:00+09:00,57200.0,57200.0,57400.0,57200.0,57300.0,195131
2020-02-25 11:10:00+09:00,57200.0,57200.0,57300.0,57100.0,57300.0,342131
2020-02-25 11:15:00+09:00,57400.0,57400.0,57400.0,57200.0,57200.0,242643
2020-02-25 11:20:00+09:00,57400.0,57400.0,57500.0,57200.0,57400.0,320663
2020-02-25 11:25:00+09:00,57400.0,57400.0,57500.0,57300.0,57400.0,179874
2020-02-25 11:30:00+09:00,57400.0,57400.0,57400.0,57200.0,57400.0,196327
2020-02-25 11:35:00+09:00,57300.0,57300.0,57400.0,57200.0,57400.0,202947
2020-02-25 11:40:00+09:00,57400.0,57400.0,57400.0,57200.0,57200.0,149268
2020-02-25 11:45:00+09:00,57400.0,57400.0,57400.0,57200.0,57300.0,223822
2020-02-25 11:50:00+09:00,57200.0,57200.0,57400.0,57200.0,57400.0,151544
2020-02-25 11:55:00+09:00,57300.0,57300.0,57300.0,57200.0,57300.0,46092
2020-02-25 12:00:00+09:00,57200.0,57200.0,57300.0,57200.0,57300.0,57211
2020-02-25 12:05:00+09:00,57300.0,57300.0,57300.0,57200.0,57300.0,75498
